,Data,Produto,Categoria,Quantidade,Preço
55,2023-08-12,Bread roll,bread,9,1.5
56,2023-08-29,Veggie sandwich,sandwich,2,2.8
57,2023-02-03,Chocolate bar,ready-made,8,2.0
58,2023-12-01,Veggie sandwich,sandwich,1,2.8
59,2023-10-27,Cake slice,slice,8,3.5
60,2023-06-16,Mints,ready-made,10,1.0
61,2023-09-14,Mints,ready-made,8,1.0
62,2023-03-22,Cake slice,slice,6,3.5
63,2023-04-25,Chocolate bar,ready-made,6,2.0
64,2023-07-31,Mints,ready-made,7,1.0
65,2023-05-03,Pie slice,slice,2,4.0
66,2023-01-19,Chocolate bar,ready-made,3,2.0
67,2023-01-17,Bread roll,bread,3,1.5
68,2023-09-12,Pie slice,slice,10,4.0
69,2023-06-04,Chocolate bar,ready-made,6,2.0
70,2023-11-07,Chocolate bar,ready-made,1,2.0
71,2023-12-03,Bread roll,bread,3,1.5
72,2023-02-06,Chicken sandwich,sandwich,4,3.0
73,2023-10-01,Bread roll,bread,10,1.5
74,2023-02-11,Cake slice,slice,2,3.5
75,2023-03-18,Veggie sandwich,sandwich,3,2.8
76,2023-07-16,Chicken sandwich,sandwich,1,3.0
77,2023-10-18,Chocolate bar,ready-made,10,2.0
78,2023-07-11,Chocolate bar,ready-made,2,2.0
79,2023-11-04,Veggie sandwich,sandwich,4,2.8
80,2023-03-18,Mints,ready-made,3,1.0
81,2023-02-27,Cake slice,slice,7,3.5
82,2023-02-19,Mints,ready-made,6,1.0
83,2023-08-15,Bread roll,bread,3,1.5
84,2023-03-27,Cake slice,slice,10,3.5
85,2023-04-08,Chocolate bar,ready-made,3,2.0
86,2023-06-28,Chocolate bar,ready-made,2,2.0
87,2023-08-10,Chocolate bar,ready-made,2,2.0
88,2023-08-01,Pie slice,slice,2,4.0
89,2023-08-17,Chocolate bar,ready-made,5,2.0
90,2023-05-06,Chicken sandwich,sandwich,9,3.0
91,2023-12-15,Bread loaf,bread,6,4.5
92,2023-05-21,Mints,ready-made,10,1.0
93,2023-03-15,Pie slice,slice,9,4.0
94,2023-11-13,Chicken sandwich,sandwich,1,3.0
95,2023-09-25,Cake slice,slice,7,3.5
96,2023-04-02,Pie slice,slice,2,4.0
97,2023-03-03,Mints,ready-made,2,1.0
98,2023-05-17,Chocolate bar,ready-made,10,2.0
99,2023-08-22,Pie slice,slice,5,4.0
100,2023-06-04,Veggie sandwich,sandwich,2,2.8
101,2023-03-26,Pie slice,slice,10,4.0
102,2023-12-05,Bread roll,bread,2,1.5
103,2023-11-29,Chocolate bar,ready-made,1,2.0
104,2023-03-31,Bread roll,bread,7,1.5
105,2023-04-01,Veggie sandwich,sandwich,3,2.8
106,2023-09-03,Bread roll,bread,6,1.5
107,2023-06-27,Veggie sandwich,sandwich,8,2.8
108,2023-06-17,Cake slice,slice,1,3.5
109,2023-08-11,Pie slice,slice,3,4.0
110,2023-04-25,Chicken sandwich,sandwich,4,3.0
111,2023-01-03,Pie slice,slice,4,4.0
112,2023-10-06,Chocolate bar,ready-made,10,2.0
113,2023-12-31,Chocolate bar,ready-made,9,2.0
114,2023-01-23,Bread roll,bread,3,1.5
115,2023-06-19,Bread roll,bread,2,1.5
116,2023-06-13,Bread roll,bread,1,1.5
117,2023-05-05,Cake slice,slice,2,3.5
118,2023-02-10,Chocolate bar,ready-made,2,2.0
119,2023-05-15,Bread roll,bread,7,1.5
120,2023-08-18,Cake slice,slice,10,3.5
121,2023-07-27,Chocolate bar,ready-made,1,2.0
122,2023-10-26,Cake slice,slice,1,3.5
123,2023-03-23,Chocolate bar,ready-made,10,2.0
124,2023-07-19,Mints,ready-made,8,1.0
125,2023-09-11,Veggie sandwich,sandwich,3,2.8
126,2023-12-11,Bread roll,bread,7,1.5
127,2023-05-04,Mints,ready-made,8,1.0
128,2023-09-26,Veggie sandwich,sandwich,2,2.8
129,2023-05-20,Cake slice,slice,5,3.5
130,2023-09-24,Chicken sandwich,sandwich,3,3.0
131,2023-09-05,Bread loaf,bread,8,4.5
132,2023-11-05,Bread roll,bread,3,1.5
133,2023-09-13,Chicken sandwich,sandwich,2,3.0
134,2023-02-02,Chicken sandwich,sandwich,3,3.0
135,2023-03-27,Bread loaf,bread,9,4.5
136,2023-09-08,Bread loaf,bread,5,4.5
137,2023-12-12,Veggie sandwich,sandwich,1,2.8
138,2023-08-25,Chicken sandwich,sandwich,9,3.0
139,2023-07-25,Chocolate bar,ready-made,9,2.0
140,2023-03-11,Cake slice,slice,1,3.5
141,2023-08-04,Bread roll,bread,10,1.5
142,2023-10-05,Bread roll,bread,4,1.5
143,2023-10-27,Bread roll,bread,4,1.5
144,2023-06-28,Cake slice,slice,5,3.5
145,2023-10-03,Chocolate bar,ready-made,3,2.0
146,2023-07-18,Bread roll,bread,6,1.5
147,2023-09-08,Bread loaf,bread,8,4.5
148,2023-12-26,Chicken sandwich,sandwich,8,3.0
149,2023-03-26,Mints,ready-made,3,1.0
150,2023-10-14,Cake slice,slice,1,3.5
151,2023-08-14,Chocolate bar,ready-made,10,2.0
152,2023-02-20,Cake slice,slice,8,3.5
153,2023-08-01,Cake slice,slice,6,3.5
154,2023-01-19,Mints,ready-made,3,1.0
155,2023-01-02,Bread roll,bread,8,1.5
156,2023-08-13,Chocolate bar,ready-made,3,2.0
157,2023-10-02,Mints,ready-made,5,1.0
158,2023-02-03,Pie slice,slice,8,4.0
159,2023-01-26,Veggie sandwich,sandwich,10,2.8
160,2023-06-29,Chocolate bar,ready-made,3,2.0
161,2023-02-17,Veggie sandwich,sandwich,6,2.8
162,2023-03-19,Cake slice,slice,1,3.5
163,2023-02-25,Mints,ready-made,1,1.0
164,2023-11-08,Veggie sandwich,sandwich,9,2.8
165,2023-08-21,Bread roll,bread,7,1.5
166,2023-09-06,Bread loaf,bread,1,4.5
167,2023-03-13,Cake slice,slice,1,3.5
168,2023-08-23,Bread roll,bread,6,1.5
169,2023-08-12,Chocolate bar,ready-made,4,2.0
170,2023-09-14,Mints,ready-made,10,1.0
171,2023-08-17,Bread loaf,bread,2,4.5
172,2023-06-25,Bread loaf,bread,6,4.5
173,2023-05-13,Mints,ready-made,7,1.0
174,2023-12-24,Chicken sandwich,sandwich,3,3.0
175,2023-08-23,Cake slice,slice,7,3.5
176,2023-08-05,Pie slice,slice,4,4.0
177,2023-06-18,Cake slice,slice,7,3.5
178,2023-11-29,Pie slice,slice,9,4.0
179,2023-09-24,Mints,ready-made,7,1.0
180,2023-09-25,Pie slice,slice,2,4.0
181,2023-03-20,Cake slice,slice,10,3.5
182,2023-05-02,Cake slice,slice,2,3.5
183,2023-06-15,Chocolate bar,ready-made,8,2.0
184,2023-11-13,Bread loaf,bread,4,4.5
185,2023-01-17,Bread roll,bread,8,1.5
186,2023-12-18,Cake slice,slice,3,3.5
187,2023-04-11,Veggie sandwich,sandwich,7,2.8
188,2023-11-26,Pie slice,slice,4,4.0
189,2023-10-29,Veggie sandwich,sandwich,5,2.8
190,2023-10-22,Chicken sandwich,sandwich,3,3.0
191,2023-11-18,Bread roll,bread,8,1.5
192,2023-09-03,Chocolate bar,ready-made,6,2.0
193,2023-01-13,Veggie sandwich,sandwich,1,2.8
194,2023-03-01,Veggie sandwich,sandwich,5,2.8
195,2023-06-01,Bread roll,bread,7,1.5
196,2023-08-11,Chicken sandwich,sandwich,8,3.0
197,2023-05-07,Cake slice,slice,2,3.5
198,2023-05-29,Chocolate bar,ready-made,7,2.0
199,2023-02-15,Bread loaf,bread,2,4.5
